create_dt,location_y,compnt_nm,location_x,version
20140207,-28.60502,NTAMBANANA,31.74294,1.1.0
20140207,-26.16425,KAGISO,27.78162,1.1.0
20140207,-25.99744,MAGALIESBURG,27.53867,1.1.0
20140207,-26.18076,RANDFONTEIN,27.7062,1.1.0
20140207,-29.91872,MONTCLAIR,30.97392,1.1.0
20140207,-26.3563,DEVON,28.78603,1.1.0
20140207,-27.97561,GLUCKSTADT,31.0321,1.1.0
20140207,-26.54492,EMBALENHLE,29.0747,1.1.0
20140207,-24.9599,NORTHAM,27.26438,1.1.0
20140207,-34.04298,LINGELETHU-WEST,18.66004,1.1.0
20140207,-33.81395,KWANOBUHLE,25.39782,1.1.0
20140207,-33.50484,BATHURST,26.83917,1.1.0
20140207,-25.5287,SOSHANGUVE,28.1126,1.1.0
20140207,-33.86616,GROOT-DRAKENSTEIN,18.97776,1.1.0
20140207,-29.13495,SUNDUMBILI,31.40266,1.1.0
20140207,-29.8118,BULWER,29.76945,1.1.0
20140207,-27.99503,CEZA,31.37832,1.1.0
20140207,-25.68235,SCHOEMANSDAL,31.49894,1.1.0
20140207,-23.35999,TSHITALE,29.98902,1.1.0
20140207,-33.83223,HANKEY,24.88528,1.1.0
20140207,-34.02798,HUMANSDORP,24.77275,1.1.0
20140207,-33.95386,KAREEDOUW,24.29433,1.1.0
20140207,-33.39892,KIRKWOOD,25.44409,1.1.0
20140207,-33.97407,STORMS RIVER,23.8889,1.1.0
20140207,-26.10548,ALEXANDRA,28.10089,1.1.0
20140207,-27.17452,DIRKIESDORP,30.40569,1.1.0
20140207,-30.25922,HIGHFLATS,30.19238,1.1.0
20140207,-29.19591,LADYBRAND,27.4568,1.1.0
20140207,-33.95012,MOWBRAY,18.47228,1.1.0
20140207,-34.03052,HOUT BAY,18.35674,1.1.0
20140207,-28.54034,BOSHOF,25.23967,1.1.0
20140207,-28.7031,BRANDFORT,26.45913,1.1.0
20140207,-28.67602,DEALESVILLE,25.76379,1.1.0
20140207,-29.58358,DEWETSDORP,26.66246,1.1.0
20140207,-29.02645,PLOOYSBURG,24.23761,1.1.0
20140207,-28.11489,WARRENTON,24.84885,1.1.0
20140207,-28.32664,WINDSORTON,24.71082,1.1.0
20140207,-28.93999,GLEN,26.33199,1.1.0
20140207,-24.45995,MAGATLE,29.41087,1.1.0
20140207,-24.86798,NEBO,29.75343,1.1.0
20140207,-25.02105,HLOGOTLOU,29.73837,1.1.0
20140207,-24.42233,APEL,29.78591,1.1.0
20140207,-23.89402,LETSITELE,30.39214,1.1.0
20140207,-23.95261,PHALABORWA,31.13608,1.1.0
20140207,-24.2936,VAALWATER,28.11371,1.1.0
20140207,-33.87062,BETHELSDORP,25.51261,1.1.0
20140207,-33.80317,DESPATCH,25.47264,1.1.0
20140207,-26.4936,TRICHARDT,29.22408,1.1.0
20140207,-32.42247,KOLOMANE,26.78883,1.1.0
20140207,-31.58173,MTHATHA,28.77164,1.1.0
20140207,-26.66282,BALFOUR TVL,28.58695,1.1.0
20140207,-26.4154,KINROSS,29.08508,1.1.0
20140207,-22.42221,MASISI,30.86261,1.1.0
20140207,-32.74839,HEALDTOWN,26.64999,1.1.0
20140207,-29.93649,BRIGHTON BEACH,31.00619,1.1.0
20140207,-23.00452,MALAMULELE,30.68665,1.1.0
20140207,-28.58345,NAMAHADI,28.82841,1.1.0
20140207,-33.7846,MONTAGU,20.12967,1.1.0
20140207,-33.91055,GELVANDALE,25.5503,1.1.0
20140207,-30.21307,KAMIESKROON,17.93159,1.1.0
20140207,-26.40597,ZONKIZIZWE,28.17933,1.1.0
20140207,-29.32488,KOMMISSIEPOORT,27.28657,1.1.0
20140207,-25.73355,SILVERTON,28.29632,1.1.0
20140207,-25.80898,BRONKHORSTSPRUIT,28.74566,1.1.0
20140207,-25.67528,CULLINAN,28.52028,1.1.0
20140207,-26.07128,CAROLINA,30.11998,1.1.0
20140207,-22.89731,SILOAM,30.18623,1.1.0
20140207,-33.68053,KENTON ON SEA,26.66674,1.1.0
20140207,-25.09528,SABIE,30.78207,1.1.0
20140207,-31.40925,IDA,27.55116,1.1.0
20140207,-30.68748,ALIWAL NORTH,26.71103,1.1.0
20140207,-26.1796,BEDFORDVIEW,28.13719,1.1.0
20140207,-26.09934,BLINKPAN,29.45108,1.1.0
20140207,-25.16553,GROBLERSDAL,29.3896,1.1.0
20140207,-24.99079,MAARTENSHOOP,30.234,1.1.0
20140207,-26.05064,OGIES,29.05272,1.1.0
20140207,-23.0909,MARA,29.39279,1.1.0
20140207,-31.29284,STEYNSBURG,25.82328,1.1.0
20140207,-30.99708,BURGERSDORP,26.33273,1.1.0
20140207,-34.03161,DIEPRIVIER,18.46485,1.1.0
20140207,-32.77701,FORT BEAUFORT,26.63555,1.1.0
20140207,-33.64669,KINKELBOS,25.87827,1.1.0
20140207,-33.98442,CLAREMONT,18.47286,1.1.0
20140207,-25.59975,MOTHUTLUNG,27.8873,1.1.0
20140207,-33.87626,KWAZAKELE,25.58308,1.1.0
20140207,-31.14658,MPISI,29.93013,1.1.0
20140207,-30.34742,GOWAN LEA,29.70266,1.1.0
20140207,-30.57749,PHUMALANGA,27.57751,1.1.0
20140207,-32.00375,COFIMVABA,27.58411,1.1.0
20140207,-26.12079,BRAMLEY,28.08413,1.1.0
20140207,-25.99321,MIDRAND,28.12012,1.1.0
20140207,-26.08026,SANDTON,28.0615,1.1.0
20140207,-26.11922,LINDEN,27.9937,1.1.0
20140207,-24.87751,BELA-BELA,28.29453,1.1.0
20140207,-23.69563,MODJADJISKLOOF,30.14385,1.1.0
20140207,-23.95146,GRAVELOTTE,30.61256,1.1.0
20140207,-29.60667,PRESTBURY,30.33822,1.1.0
20140207,-29.34421,DALTON,30.63626,1.1.0
20140207,-29.14101,EMATIMATOLO,30.82659,1.1.0
20140207,-28.96604,KRANSKOP,30.86405,1.1.0
20140207,-26.20815,LANGLAAGTE,27.98447,1.1.0
20140207,-26.27615,MONDEOR,28.01003,1.1.0
20140207,-26.27697,PROTEA GLEN,27.83896,1.1.0
20140207,-33.18409,SARON,18.99944,1.1.0
20140207,-25.511,MABOPANE,28.0575,1.1.0
20140207,-25.75444,SUNNYSIDE,28.2077,1.1.0
20140207,-26.25175,KLERKSKRAAL,27.16339,1.1.0
20140207,-26.13293,OR TAMBO INTERN AIRP,28.22985,1.1.0
20140207,-28.95414,MTUNZINI,31.75453,1.1.0
20140207,-28.74586,EMPANGENI,31.88623,1.1.0
20140207,-33.45354,MALMESBURY,18.72971,1.1.0
20140207,-33.01164,PORTERVILLE,18.99274,1.1.0
20140207,-33.00962,SALDANHA,17.93958,1.1.0
20140207,-32.68363,BEDFORD,26.08275,1.1.0
20140207,-31.55052,STERKSTROOM,26.55598,1.1.0
20140207,-32.25286,GRAAFF-REINET,24.53989,1.1.0
20140207,-32.83365,DIMBAZA,27.20597,1.1.0
20140207,-31.96778,ELLIOTDALE,28.68342,1.1.0
20140207,-31.36889,LUSIKISIKI,29.57499,1.1.0
20140207,-34.02464,KHAYELITSHA,18.66599,1.1.0
20140207,-25.88794,WITBANK,29.23129,1.1.0
20140207,-33.92897,WOODSTOCK,18.44814,1.1.0
20140207,-34.15086,RIVIERSONDEREND,19.92037,1.1.0
20140207,-34.07682,SOMERSET WEST,18.84466,1.1.0
20140207,-34.80059,STRUISBAAI,20.05088,1.1.0
20140207,-33.92257,CLOETESVILLE,18.85526,1.1.0
20140207,-27.41557,CHARLESTOWN,29.87355,1.1.0
20140207,-27.57737,INGOGO,29.91188,1.1.0
20140207,-29.73115,WEPENER,27.037,1.1.0
20140207,-30.02955,CREIGHTON,29.84284,1.1.0
20140207,-31.07529,MZAMBA,30.18437,1.1.0
20140207,-30.52837,STERKSPRUIT,27.37134,1.1.0
